date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:46	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:12%20GMT	https://system76.com/images/desktops/ratel/ratp5/hero-home-serval.png	E:/websites/ecom/system76.com/images/desktops/ratel/ratp5/hero-home-serval.png	(from https://system76.com/)
22:21:46	24381/24381	---M--	200	added ('OK')	image/png	etag:ecb6259b29ebba6e64e845d4703c8d1d	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0desktopso_0ratelo_0ratp5o_0hero-home-serval.png	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0desktopso_0ratelo_0ratp5o_0hero-home-serval.png	(from https://system76.com/)
22:21:46	26040/26040	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:12%20GMT	https://system76.com/stem	E:/websites/ecom/system76.com/stem.html	(from https://system76.com/)
22:21:46	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:12%20GMT	https://system76.com/images/home/badges/stem.jpg	E:/websites/ecom/system76.com/images/home/badges/stem.jpg	(from https://system76.com/)
22:21:47	58616/58616	---M--	200	added ('OK')	image/jpeg	etag:73766d0e1683e1781505a068c98f594b	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0stem.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0stem.jpg	(from https://system76.com/)
22:21:47	22805/22805	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:13%20GMT	https://system76.com/ubuntu	E:/websites/ecom/system76.com/ubuntu.html	(from https://system76.com/)
22:21:47	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:13%20GMT	https://system76.com/images/home/badges/ubuntu.jpg	E:/websites/ecom/system76.com/images/home/badges/ubuntu.jpg	(from https://system76.com/)
22:21:47	41110/41110	---M--	200	added ('OK')	image/jpeg	etag:8a449ad485ed1922e8ed27a6c2a019c2	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0ubuntu.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0ubuntu.jpg	(from https://system76.com/)
22:21:48	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:13%20GMT	https://system76.com/images/home/badges/support.jpg	E:/websites/ecom/system76.com/images/home/badges/support.jpg	(from https://system76.com/)
22:21:48	74996/74996	---M--	200	added ('OK')	image/jpeg	etag:5e194a10af67fa6e92f3887e5738c36c	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0support.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0badgeso_0support.jpg	(from https://system76.com/)
22:21:48	24503/24503	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:14%20GMT	https://system76.com/about	E:/websites/ecom/system76.com/about.html	(from https://system76.com/)
22:21:48	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:14%20GMT	https://system76.com/images/home/badges/team.jpg	E:/websites/ecom/system76.com/images/home/badges/team.jpg	(from https://system76.com/)
